,year,avg_temp,roll_average
14,1764,8,8.076666667000001
15,1765,8,8.12
16,1766,8,8.323333332999999
17,1767,8,8.231666667
18,1768,7,7.926666667
19,1769,8,7.958333333
20,1770,8,7.84
21,1771,8,7.773333332999999
22,1772,8,7.736666667000001
23,1773,8,7.736666667000001
24,1774,9,8.068333333
25,1775,9,8.316666667
26,1776,8,8.418333333
27,1777,8,8.486666667
28,1778,9,8.545
29,1779,9,8.671666667
30,1780,9,8.781666667
31,1781,8,8.601666667
32,1782,8,8.535
33,1783,8,8.438333333
34,1784,8,8.325
35,1785,7,8.055
36,1786,8,7.86
37,1787,8,7.848333332999999
38,1788,8,7.94
39,1789,8,8.048333332999999
40,1790,8,8.068333333
41,1791,8,8.213333333
42,1792,8,8.185
43,1793,8,8.218333333
44,1794,9,8.231666667
45,1795,8,8.235
46,1796,8,8.283333333
47,1797,9,8.33
48,1798,9,8.426666667000001
49,1799,9,8.473333333
50,1800,8,8.465
51,1801,9,8.505
52,1802,9,8.556666667
53,1803,8,8.555
54,1804,9,8.583333332999999
55,1805,9,8.591666667
56,1806,8,8.583333332999999
57,1807,8,8.531666667
58,1808,8,8.373333333
59,1809,7,8.136666667
60,1810,7,7.816666667000001
61,1811,7,7.533333333
62,1812,7,7.303333332999999
63,1813,8,7.213333333
64,1814,8,7.206666667
65,1815,7,7.233333332999999
66,1816,7,7.236666667000001
67,1817,7,7.256666667
68,1818,8,7.386666667
69,1819,7,7.325
70,1820,8,7.33
71,1821,8,7.471666667
72,1822,8,7.68
73,1823,8,7.803333332999999
74,1824,9,7.9233333329999995
75,1825,8,8.093333333
76,1826,8,8.216666667
77,1827,9,8.336666667000001
78,1828,8,8.333333332999999
79,1829,8,8.37
80,1830,9,8.365
81,1831,8,8.24
82,1832,7,8.088333333
83,1833,8,7.955
84,1834,8,7.9516666670000005
85,1835,7,7.86
86,1836,8,7.723333332999999
87,1837,7,7.68
88,1838,8,7.69
89,1839,8,7.626666667
90,1840,8,7.568333332999999
91,1841,8,7.618333333
92,1842,8,7.671666667
93,1843,8,7.803333332999999
94,1844,8,7.8266666670000005
95,1845,8,7.863333333
96,1846,9,7.988333333
97,1847,8,8.055
98,1848,8,8.048333332999999
99,1849,8,8.016666667
100,1850,8,8.058333333
101,1851,8,8.113333333
102,1852,8,8.038333332999999
103,1853,8,8.03
104,1854,8,8.068333333
105,1855,8,8.09
106,1856,8,8.106666667
107,1857,8,8.036666667
108,1858,8,8.036666667
109,1859,8,8.071666667
110,1860,8,8.03
111,1861,8,7.986666667000001
112,1862,8,7.913333333
113,1863,8,7.971666667
114,1864,8,7.9516666670000005
115,1865,8,7.94
116,1866,8,7.995
117,1867,8,8.093333333
118,1868,8,8.208333332999999
119,1869,8,8.261666667
120,1870,8,8.298333332999999
121,1871,8,8.288333332999999
122,1872,8,8.271666667
123,1873,8,8.256666667000001
124,1874,8,8.286666667
125,1875,8,8.191666667
126,1876,8,8.171666667
127,1877,9,8.241666667
128,1878,9,8.348333333
129,1879,8,8.318333333
130,1880,8,8.266666667
131,1881,8,8.335
132,1882,8,8.343333333
133,1883,8,8.25
134,1884,8,8.073333332999999
135,1885,8,8.031666667
136,1886,8,8.003333332999999
137,1887,8,7.943333332999999
138,1888,8,7.936666667000001
139,1889,8,7.993333333
140,1890,8,8.026666667
141,1891,8,8.043333333
142,1892,8,8.063333333
143,1893,8,8.088333333
144,1894,8,8.1
145,1895,8,8.071666667
146,1896,8,8.111666667
147,1897,8,8.156666667
148,1898,8,8.175
149,1899,8,8.231666667
150,1900,8,8.288333332999999
151,1901,9,8.353333333
152,1902,8,8.368333332999999
153,1903,8,8.356666667
154,1904,8,8.341666667
155,1905,8,8.313333333
156,1906,8,8.293333333
157,1907,8,8.195
158,1908,8,8.176666667000001
159,1909,8,8.17
160,1910,8,8.191666667
161,1911,8,8.183333333
162,1912,8,8.148333333
163,1913,8,8.206666667
164,1914,9,8.273333333
165,1915,9,8.341666667
166,1916,8,8.343333333
167,1917,8,8.316666667
168,1918,8,8.31
169,1919,8,8.323333332999999
170,1920,8,8.285
171,1921,9,8.281666667
172,1922,8,8.311666667
173,1923,8,8.378333332999999
174,1924,9,8.441666667
175,1925,9,8.466666667
176,1926,9,8.528333332999999
177,1927,9,8.52
178,1928,9,8.556666667
179,1929,8,8.526666667
180,1930,9,8.546666667
181,1931,9,8.578333333
182,1932,9,8.575
183,1933,8,8.545
184,1934,9,8.545
185,1935,9,8.591666667
186,1936,9,8.578333333
187,1937,9,8.575
188,1938,9,8.6
189,1939,9,8.67
190,1940,9,8.691666667
191,1941,9,8.733333333
192,1942,9,8.763333333
193,1943,9,8.773333333
194,1944,9,8.771666667
195,1945,9,8.741666667
196,1946,9,8.728333333
197,1947,9,8.733333333
198,1948,9,8.736666667
199,1949,9,8.708333332999999
200,1950,8,8.628333332999999
201,1951,9,8.636666667
202,1952,9,8.63
203,1953,9,8.641666667
204,1954,9,8.61
205,1955,9,8.616666667
206,1956,8,8.601666667
207,1957,9,8.618333332999999
208,1958,9,8.64
209,1959,9,8.616666667
210,1960,9,8.62
211,1961,9,8.648333333
212,1962,9,8.726666667
213,1963,9,8.748333333
214,1964,8,8.688333333
215,1965,9,8.655
216,1966,9,8.658333333
217,1967,9,8.641666667
218,1968,9,8.603333333
219,1969,9,8.56
220,1970,9,8.608333333
221,1971,9,8.62
222,1972,8,8.603333333
223,1973,9,8.645
224,1974,8,8.636666667
225,1975,9,8.66
226,1976,8,8.601666667
227,1977,9,8.643333333
228,1978,9,8.675
229,1979,9,8.638333333
230,1980,9,8.723333333
231,1981,9,8.795
