year,city,country,avg_temp,rolling_averages
1743,Chicago,United States,5.44,
1744,Chicago,United States,11.73,
1745,Chicago,United States,1.8,
1746,Chicago,United States,,
1747,Chicago,United States,,
1748,Chicago,United States,,
1749,Chicago,United States,,
1750,Chicago,United States,10.49,
1751,Chicago,United States,11.19,
1752,Chicago,United States,4.5,
1753,Chicago,United States,10.04,
1754,Chicago,United States,10.64,9.372
1755,Chicago,United States,7.41,8.756
1756,Chicago,United States,11.15,8.748
1757,Chicago,United States,9.5,9.748
1758,Chicago,United States,8.61,9.462
1759,Chicago,United States,9.59,9.252
1760,Chicago,United States,8.05,9.38
1761,Chicago,United States,10.4,9.23
1762,Chicago,United States,9.82,9.294
1763,Chicago,United States,7.72,9.116
1764,Chicago,United States,10.63,9.324
1765,Chicago,United States,9.78,9.67
1766,Chicago,United States,10.49,9.688
1767,Chicago,United States,9.41,9.606
1768,Chicago,United States,8.95,9.852
1769,Chicago,United States,9.79,9.684
1770,Chicago,United States,9.66,9.66
1771,Chicago,United States,10.44,9.65
1772,Chicago,United States,10.27,9.822
1773,Chicago,United States,10.42,10.116
1774,Chicago,United States,10.27,10.212
1775,Chicago,United States,10.99,10.478
1776,Chicago,United States,9.98,10.386
1777,Chicago,United States,9.67,10.266
1778,Chicago,United States,7.63,9.708
1779,Chicago,United States,10.32,9.718
1780,Chicago,United States,12.54,10.028
1781,Chicago,United States,10.18,10.068
1782,Chicago,United States,9.69,10.072
1783,Chicago,United States,9.44,10.434
1784,Chicago,United States,9.4,10.25
1785,Chicago,United States,9.2,9.582
1786,Chicago,United States,9.75,9.496
1787,Chicago,United States,9.78,9.514
1788,Chicago,United States,10.28,9.682
1789,Chicago,United States,10.03,9.808
1790,Chicago,United States,9.93,9.954
1791,Chicago,United States,10.12,10.028
1792,Chicago,United States,9.62,9.996
1793,Chicago,United States,10.2,9.98
1794,Chicago,United States,10.3,10.034
1795,Chicago,United States,10.01,10.05
1796,Chicago,United States,9.92,10.01
1797,Chicago,United States,9.66,10.018
1798,Chicago,United States,10.43,10.064
1799,Chicago,United States,10.11,10.026
1800,Chicago,United States,10.11,10.046
1801,Chicago,United States,10.47,10.156
1802,Chicago,United States,10.66,10.356
1803,Chicago,United States,10.48,10.366
1804,Chicago,United States,10.41,10.426
1805,Chicago,United States,10.63,10.53
1806,Chicago,United States,10.1,10.456
1807,Chicago,United States,9.88,10.3
1808,Chicago,United States,9.84,10.172
1809,Chicago,United States,9.04,9.898
1810,Chicago,United States,9.22,9.616
1811,Chicago,United States,9.37,9.47
1812,Chicago,United States,8.34,9.162
1813,Chicago,United States,9.67,9.128
1814,Chicago,United States,9.55,9.23
1815,Chicago,United States,8.86,9.158
1816,Chicago,United States,8.27,8.938
1817,Chicago,United States,8.54,8.978
1818,Chicago,United States,9.42,8.928
1819,Chicago,United States,9.19,8.856
1820,Chicago,United States,9.02,8.888
1821,Chicago,United States,9.08,9.05
1822,Chicago,United States,9.87,9.316
1823,Chicago,United States,9.31,9.294
1824,Chicago,United States,9.57,9.37
1825,Chicago,United States,10.87,9.74
1826,Chicago,United States,10.19,9.962
1827,Chicago,United States,10.58,10.104
1828,Chicago,United States,11,10.442
1829,Chicago,United States,9.94,10.516
1830,Chicago,United States,11.11,10.564
1831,Chicago,United States,9.02,10.33
1832,Chicago,United States,10.33,10.28
1833,Chicago,United States,10.7,10.22
1834,Chicago,United States,10.92,10.416
1835,Chicago,United States,9.44,10.082
1836,Chicago,United States,8.68,10.014
1837,Chicago,United States,9.42,9.832
1838,Chicago,United States,8.81,9.454
1839,Chicago,United States,10.57,9.384
1840,Chicago,United States,10.24,9.544
1841,Chicago,United States,9.83,9.774
1842,Chicago,United States,10.32,9.954
1843,Chicago,United States,8.78,9.948
1844,Chicago,United States,10.28,9.89
1845,Chicago,United States,10.6,9.962
1846,Chicago,United States,11.29,10.254
1847,Chicago,United States,9.23,10.036
1848,Chicago,United States,9.77,10.234
1849,Chicago,United States,9.34,10.046
1850,Chicago,United States,9.89,9.904
1851,Chicago,United States,10.17,9.68
1852,Chicago,United States,9.82,9.798
1853,Chicago,United States,10.21,9.886
1854,Chicago,United States,10.96,10.21
1855,Chicago,United States,9.71,10.174
1856,Chicago,United States,8.66,9.872
1857,Chicago,United States,8.76,9.66
1858,Chicago,United States,10.53,9.724
1859,Chicago,United States,9.76,9.484
1860,Chicago,United States,9.75,9.492
1861,Chicago,United States,9.62,9.684
1862,Chicago,United States,9.36,9.804
1863,Chicago,United States,9.73,9.644
1864,Chicago,United States,9.35,9.562
1865,Chicago,United States,9.92,9.596
1866,Chicago,United States,9.05,9.482
1867,Chicago,United States,9.43,9.496
1868,Chicago,United States,8.88,9.326
1869,Chicago,United States,8.73,9.202
1870,Chicago,United States,10.55,9.328
1871,Chicago,United States,9.91,9.5
1872,Chicago,United States,8.72,9.358
1873,Chicago,United States,8.84,9.35
1874,Chicago,United States,10.18,9.64
1875,Chicago,United States,7.8,9.09
1876,Chicago,United States,9.69,9.046
1877,Chicago,United States,10.68,9.438
1878,Chicago,United States,11.31,9.932
1879,Chicago,United States,10.11,9.918
1880,Chicago,United States,10.46,10.45
1881,Chicago,United States,10.25,10.562
1882,Chicago,United States,10.38,10.502
1883,Chicago,United States,8.42,9.924
1884,Chicago,United States,9.35,9.772
1885,Chicago,United States,7.96,9.272
1886,Chicago,United States,9.4,9.102
1887,Chicago,United States,9.64,8.954
1888,Chicago,United States,8.74,9.018
1889,Chicago,United States,10.02,9.152
1890,Chicago,United States,10.21,9.602
1891,Chicago,United States,10.29,9.78
1892,Chicago,United States,9.21,9.694
1893,Chicago,United States,8.91,9.728
1894,Chicago,United States,10.79,9.882
1895,Chicago,United States,9.32,9.704
1896,Chicago,United States,10.39,9.724
1897,Chicago,United States,10.05,9.892
1898,Chicago,United States,10.24,10.158
1899,Chicago,United States,10.12,10.024
1900,Chicago,United States,10.63,10.286
1901,Chicago,United States,9.87,10.182
1902,Chicago,United States,10.04,10.18
1903,Chicago,United States,9.57,10.046
1904,Chicago,United States,8.56,9.734
1905,Chicago,United States,9.42,9.492
1906,Chicago,United States,10.56,9.63
1907,Chicago,United States,9.32,9.486
1908,Chicago,United States,10.68,9.708
1909,Chicago,United States,9.89,9.974
1910,Chicago,United States,10.2,10.13
1911,Chicago,United States,10.87,10.192
1912,Chicago,United States,8.95,10.118
1913,Chicago,United States,10.83,10.148
1914,Chicago,United States,10.2,10.21
1915,Chicago,United States,9.98,10.166
1916,Chicago,United States,9.84,9.96
1917,Chicago,United States,8.06,9.782
1918,Chicago,United States,10.06,9.628
1919,Chicago,United States,10.64,9.716
1920,Chicago,United States,9.83,9.686
1921,Chicago,United States,12.28,10.174
1922,Chicago,United States,10.92,10.746
1923,Chicago,United States,10.12,10.758
1924,Chicago,United States,8.77,10.384
1925,Chicago,United States,9.93,10.404
1926,Chicago,United States,9.12,9.772
1927,Chicago,United States,10.54,9.696
1928,Chicago,United States,10.21,9.714
1929,Chicago,United States,9.28,9.816
1930,Chicago,United States,10.79,9.988
1931,Chicago,United States,12.39,10.642
1932,Chicago,United States,10.61,10.656
1933,Chicago,United States,11.09,10.832
1934,Chicago,United States,10.87,11.15
1935,Chicago,United States,10.01,10.994
1936,Chicago,United States,9.86,10.488
1937,Chicago,United States,9.99,10.364
1938,Chicago,United States,11.4,10.426
1939,Chicago,United States,11.35,10.522
1940,Chicago,United States,9.67,10.454
1941,Chicago,United States,11.41,10.764
1942,Chicago,United States,10.41,10.848
1943,Chicago,United States,9.72,10.512
1944,Chicago,United States,10.82,10.406
1945,Chicago,United States,9.96,10.464
1946,Chicago,United States,11.4,10.462
1947,Chicago,United States,10.22,10.424
1948,Chicago,United States,10.41,10.562
1949,Chicago,United States,11.18,10.634
1950,Chicago,United States,9.43,10.528
1951,Chicago,United States,9.42,10.132
1952,Chicago,United States,10.91,10.27
1953,Chicago,United States,11.67,10.522
1954,Chicago,United States,11.11,10.508
1955,Chicago,United States,11.01,10.824
1956,Chicago,United States,10.72,11.084
1957,Chicago,United States,10.42,10.986
1958,Chicago,United States,9.9,10.632
1959,Chicago,United States,10.43,10.496
1960,Chicago,United States,10.11,10.316
1961,Chicago,United States,10.58,10.288
1962,Chicago,United States,9.99,10.202
1963,Chicago,United States,9.89,10.2
1964,Chicago,United States,11.06,10.326
1965,Chicago,United States,10.34,10.372
1966,Chicago,United States,10.05,10.266
1967,Chicago,United States,9.84,10.236
1968,Chicago,United States,10.66,10.39
1969,Chicago,United States,10.03,10.184
1970,Chicago,United States,10.34,10.184
1971,Chicago,United States,10.58,10.29
1972,Chicago,United States,9.39,10.2
1973,Chicago,United States,11.55,10.378
1974,Chicago,United States,10.35,10.442
1975,Chicago,United States,10.82,10.538
1976,Chicago,United States,9.79,10.38
1977,Chicago,United States,10.46,10.594
1978,Chicago,United States,9.46,10.176
1979,Chicago,United States,9.37,9.98
1980,Chicago,United States,10.05,9.826
1981,Chicago,United States,10.54,9.976
1982,Chicago,United States,9.99,9.882
1983,Chicago,United States,10.94,10.178
1984,Chicago,United States,10.66,10.436
1985,Chicago,United States,10.11,10.448
1986,Chicago,United States,10.82,10.504
1987,Chicago,United States,12.04,10.914
1988,Chicago,United States,10.86,10.898
1989,Chicago,United States,9.8,10.726
1990,Chicago,United States,11.5,11.004
1991,Chicago,United States,11.58,11.156
1992,Chicago,United States,10.24,10.796
1993,Chicago,United States,10.18,10.66
1994,Chicago,United States,10.56,10.812
1995,Chicago,United States,10.57,10.626
1996,Chicago,United States,9.56,10.222
1997,Chicago,United States,10.14,10.202
1998,Chicago,United States,12.81,10.728
1999,Chicago,United States,11.72,10.96
2000,Chicago,United States,11.09,11.064
2001,Chicago,United States,11.7,11.492
2002,Chicago,United States,11.53,11.77
2003,Chicago,United States,10.48,11.304
2004,Chicago,United States,10.94,11.148
2005,Chicago,United States,11.58,11.246
2006,Chicago,United States,11.87,11.28
2007,Chicago,United States,11.45,11.264
2008,Chicago,United States,10.24,11.216
2009,Chicago,United States,10.3,11.088
2010,Chicago,United States,11.82,11.136
2011,Chicago,United States,11.21,11.004
2012,Chicago,United States,12.82,11.278
2013,Chicago,United States,11.59,11.548
